2016-09-28 15:49:41,182 - dataflume-monitor-logger - ERROR - extractor tungsten.jar on 10.166.224.81 new error log found since 2016-09-18 15:49:40
2016-09-28 15:49:41,258 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:49:41,314 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:49:46,813 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:49:46,927 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:49:46,928 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:49:52,391 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:49:52,494 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:49:52,648 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:49:58,167 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:49:58,217 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:49:58,232 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:50:03,729 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:50:03,827 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:50:03,834 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:50:09,284 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:50:09,443 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:50:09,499 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:50:14,846 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
