2016-09-28 20:55:51,769 - mq-monitor-logger - INFO - 2016-09-28 20:55:51的MQ队列情况如下(表名,消息数量(大概多久同步完(s)),消费者数量,进队数量,出队数量):
2016-09-28 20:55:51,770 - mq-monitor-logger - INFO - t_tfr_outwardhandover_bill_org,0(所需同步时间:无延迟),1,3281,3345
2016-09-28 20:55:51,770 - mq-monitor-logger - INFO - t_dlv_waybill_signoff_change,0(所需同步时间:无延迟),1,5378,5411
2016-09-28 20:55:51,770 - mq-monitor-logger - INFO - t_tfr_job_business_log,0(所需同步时间:无延迟),1,8245700,8426959
2016-09-28 20:55:51,770 - mq-monitor-logger - INFO - t_tfr_unloadcmd_assign_detail_org,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,770 - mq-monitor-logger - INFO - t_dlv_diff_org,0(所需同步时间:无延迟),1,1289,1322
2016-09-28 20:55:51,770 - mq-monitor-logger - INFO - t_tfr_truck_task_detail_org,3(所需同步时间:监控刚启动，未计算所需同步时间),1,1538441,1679783
2016-09-28 20:55:51,771 - mq-monitor-logger - INFO - t_bse_customer_degree,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,771 - mq-monitor-logger - INFO - t_bse_express_autocomple,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,771 - mq-monitor-logger - INFO - t_bse_cus_bargain_app_org,0(所需同步时间:无延迟),1,111469,111469
2016-09-28 20:55:51,771 - mq-monitor-logger - INFO - t_tfr_cargo_sort_org,7(所需同步时间:监控刚启动，未计算所需同步时间),1,3570940,3612027
2016-09-28 20:55:51,771 - mq-monitor-logger - INFO - t_dlv_delivertask_org,1(所需同步时间:监控刚启动，未计算所需同步时间),1,8231573,9085612
2016-09-28 20:55:51,771 - mq-monitor-logger - INFO - t_tfr_outsourcebill_org,0(所需同步时间:无延迟),1,40287,40448
2016-09-28 20:55:51,771 - mq-monitor-logger - INFO - t_tfr_unloadcmd_assign_org,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,772 - mq-monitor-logger - INFO - t_bse_cus_contact,78(所需同步时间:监控刚启动，未计算所需同步时间),1,4010254,4010176
2016-09-28 20:55:51,772 - mq-monitor-logger - INFO - t_bse_cus_contact_address,0(所需同步时间:无延迟),1,21269,21269
2016-09-28 20:55:51,772 - mq-monitor-logger - INFO - t_dlv_find_lack_goods,0(所需同步时间:无延迟),1,6108,6124
2016-09-28 20:55:51,772 - mq-monitor-logger - INFO - t_bse_par_agencybranch,0(所需同步时间:无延迟),1,29,29
2016-09-28 20:55:51,772 - mq-monitor-logger - INFO - t_tak_pickup_fillintask,0(所需同步时间:无延迟),1,2117095,2119436
2016-09-28 20:55:51,772 - mq-monitor-logger - INFO - t_dictionary_data,0(所需同步时间:无延迟),1,115237,118189
2016-09-28 20:55:51,772 - mq-monitor-logger - INFO - t_tfr_loadhandoverbill_loadtask_rel_org,0(所需同步时间:无延迟),1,439245,488137
2016-09-28 20:55:51,772 - mq-monitor-logger - INFO - t_tfr_loader_participation_org,9(所需同步时间:监控刚启动，未计算所需同步时间),1,3675144,4218492
2016-09-28 20:55:51,773 - mq-monitor-logger - INFO - t_dlv_waybill_signoff_result,4(所需同步时间:监控刚启动，未计算所需同步时间),1,1001052,1003660
2016-09-28 20:55:51,773 - mq-monitor-logger - INFO - t_bse_express_part_sales_dept,0(所需同步时间:无延迟),1,1428,1443
2016-09-28 20:55:51,773 - mq-monitor-logger - INFO - t_org_department,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,773 - mq-monitor-logger - INFO - t_tfr_job_business,0(所需同步时间:无延迟),1,8620328,8802021
2016-09-28 20:55:51,773 - mq-monitor-logger - INFO - t_tfr_cage_detail_org,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,773 - mq-monitor-logger - INFO - t_tak_waybill_disusingrecord_org,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,773 - mq-monitor-logger - INFO - t_prc_waybill_charge_detail,0(所需同步时间:无延迟),1,0,0
