2016-09-28 18:14:14,322 - dataflume-monitor-logger - ERROR - applier tungsten.jar on 10.249.7.35 new error log found since 2016-09-18 18:14:12
2016-09-28 18:14:14,326 - dataflume-monitor-logger - ERROR - applier tungsten.jar on 10.249.7.36 new error log found since 2016-09-18 18:14:12
2016-09-28 18:14:14,359 - dataflume-monitor-logger - ERROR - applier tungsten.jar on 10.249.7.34 new error log found since 2016-09-18 18:14:12
2016-09-28 18:15:15,848 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 18:15:15,862 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:15:15,888 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 18:16:17,376 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 18:16:17,396 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:16:17,448 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 18:17:18,906 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:17:18,994 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 18:17:18,998 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 18:18:20,403 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:18:20,477 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 18:18:20,532 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 18:19:21,929 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:19:21,973 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 18:19:22,134 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 18:20:23,454 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:20:23,594 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 18:20:23,695 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 18:21:24,981 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:21:25,086 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 18:21:25,190 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 18:22:26,537 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:22:26,580 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 18:22:26,688 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 18:23:28,067 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 18:23:28,071 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:23:28,217 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 18:24:29,567 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 18:24:29,690 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:24:29,715 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 18:25:31,088 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 18:25:31,191 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:25:31,262 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 18:26:32,651 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:26:32,698 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 18:26:32,807 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 18:27:34,175 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:27:34,203 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 18:27:34,322 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 18:28:35,696 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 18:28:35,717 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:28:35,849 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 18:29:37,233 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 18:29:37,249 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:29:37,382 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 18:30:38,756 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:30:38,766 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 18:30:38,923 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
